Indice,texto,Categoria 1,categoria 2,categoria 3
58,"El correísmo condecoró a Carlos Pólit El correísmo sí condecoró a Carlos Pólit  El excontralor recibió tres condecoraciones, dos de estas ya fueron retiradas. Ayer, el Concejo Metropolitano de Quito retiró el reconocimiento ‘Gran Collar Sebastián de Benalcázar’. Desde 2007 hasta 2017, Carlos Pólit fue...",0,0,0
59,"Cabrera habría dicho que se usarán 10 millones de sueldos del CNE para la consulta Durante una entrevista, José Cabrera sí hizo esa afirmación El consejero del CNE señaló que el organismo prestó 10 millones de la cartera de sueldos de funcionarios para financiar la consulta popular de abril. Lea los detalles. Las 11 preguntas de la consulta popular...",0,0,0
60,"Daniel Noboa propone construir cárceles barcazas En entrevistas, Daniel Noboa propone crear cárceles barcazas  El candidato presidencial detalló que de llegar a Carondelet se enfocará en la seguridad. Las barcazas penitenciarias tendrían capacidad para 300 o 400 reos.  El candidato presidencial de la Alianza Acción...",0,0,0
61,"“Con la Base de Manta, Ecuador tenía 17 homicidios por cada 100.000 habitantes. Durante el Gobierno de la Revolución Ciudadana, bajó a 5 por cada 100.000”, Luisa González, candidata presidencial (Revolución Ciudadana) La afirmación de la candidata está sustentada en la estadística oficial y es correcta. Sin embargo, incluimos el análisis de un experto que asegura que la presencia o no de la Base de Manta no influye directamente en la tasa de homicidios, sino otros factores.  En su...",0,0,0
62,"Preguntan a Lasso sobre promesas incumplidas El video en el que alguien le hace esta pregunta a Lasso es real En medio de declaraciones a la prensa, tras una visita a un centro de salud, Lasso fue increpado por un ciudadano por recibir “rechazo popular”. Una publicación en TikTok expone al presidente, Guillermo...",0,0,0
63,"Luisa González se opone al proyecto fotovoltaico en El Aromo La entrevista es antigua y data de 2022  En ese entonces, Luisa González era asambleísta y dijo que ese proyecto no era viable por las condiciones del clima y porque tenía un costo elevado.  POR: Redacción Ecuador Chequea  Las crisis son los temas preferidos de...",0,0,0
64,"Esta foto de cuerpos tendidos en el suelo no se tomó en Ecuador durante la pandemia del COVID-19, pero en Alemania en 2014 Esta foto de cuerpos tendidos en el suelo no se tomó en Ecuador durante la pandemia del COVID-19, pero en Alemania en 2014",0,0,0
65,"El video que muestra agua caliente brotando de una carretera fue filmado en Ecuador, no en México El video que muestra agua caliente brotando de una carretera fue filmado en Ecuador, no en México",0,0,0
66,La cadena que advierte sobre una supuesta “orden” desde la cárcel para robar niños circula desde 2015 La cadena que advierte sobre una supuesta “orden” desde la cárcel para robar niños circula desde 2015,0,0,0
67,"El candidato ecuatoriano Andrés Arauz no tiene causas por peculado, intento de fuga o títulos falsos El candidato ecuatoriano Andrés Arauz no tiene causas por peculado, intento de fuga o títulos falsos",0,0,0
68,La papeleta válida para elegir el nuevo presidente de Ecuador es la verde La papeleta válida para elegir el nuevo presidente de Ecuador es la verde,0,0,0
69,"El cartel del personal de salud pedía quedarse en casa, el mensaje sobre la votación es un montaje El cartel del personal de salud pedía quedarse en casa, el mensaje sobre la votación es un montaje",0,0,0
70,No hay registro del mensaje del partido FARC a Arauz y la exguerrilla lo desmintió No hay registro del mensaje del partido FARC a Arauz y la exguerrilla lo desmintió,0,0,0
71,"La foto de una mano con petróleo fue tomada en febrero de 2009 en Ecuador, no en Venezuela La foto de una mano con petróleo fue tomada en febrero de 2009 en Ecuador, no en Venezuela",0,0,0
72,La imagen de una legisladora sesionando desde su piscina es un montaje satírico La imagen de una legisladora sesionando desde su piscina es un montaje satírico,0,0,0
73,"El video con bolsas de cadáveres fue grabado en Ecuador, no en Madrid El video con bolsas de cadáveres fue grabado en Ecuador, no en Madrid",0,0,0
74,"El video no muestra a uniformados golpeando a un hombre en Ecuador, sino en Costa Rica El video no muestra a uniformados golpeando a un hombre en Ecuador, sino en Costa Rica",0,0,0
75,"Este video de un doble homicidio fue grabado en Ecuador en abril de 2023, no en Zacatecas, México Este video de un doble homicidio fue grabado en Ecuador en abril de 2023, no en Zacatecas, México",0,0,0
76,El Comercio no publicó esta gráfica sobre un aviso por el “No” instalado en un volcán en Ecuador El Comercio no publicó esta gráfica sobre un aviso por el “No” instalado en un volcán en Ecuador,0,0,0
77,El ecuatoriano Enner Valencia no usó en Catar un brazalete en contra de Lasso; es un montaje El ecuatoriano Enner Valencia no usó en Catar un brazalete en contra de Lasso; es un montaje,0,0,0
78,Supuesta gráfica de El Comercio sobre la “bancada correísta” y los reclusos en Ecuador es falsa Supuesta gráfica de El Comercio sobre la “bancada correísta” y los reclusos en Ecuador es falsa,0,0,0
79,Lasso no tiene potestad para disolver por decreto el Consejo de Participación Ciudadana de Ecuador Lasso no tiene potestad para disolver por decreto el Consejo de Participación Ciudadana de Ecuador,0,0,0
80,Diario Expreso no publicó esta supuesta cita del asambleísta Aleaga sobre la inseguridad en Ecuador Diario Expreso no publicó esta supuesta cita del asambleísta Aleaga sobre la inseguridad en Ecuador,0,0,0
81,"El video de unos ""criminales"" en Ecuador rumbo a Perú circula desde 2019 y fue grabado en Venezuela El video de unos ""criminales"" en Ecuador rumbo a Perú circula desde 2019 y fue grabado en Venezuela",0,0,0
82,"El video de un hospital saturado de pacientes es real; pero es de Guatemala, no de Ecuador El video de un hospital saturado de pacientes es real; pero es de Guatemala, no de Ecuador",0,0,0
83,"Este operativo de tránsito ocurrió en un centro de salud de Colombia, no de Ecuador Este operativo de tránsito ocurrió en un centro de salud de Colombia, no de Ecuador",0,0,0
84,"Supuesto audio con críticas de Bukele al presidente de Ecuador sería montaje con inteligencia artificial La grabación, que se viralizó en las últimas horas en Twitter, circula desde enero de 2023 en esta red social. El hecho ocurrió en Esmeraldas, ciudad costera del país vecino.",0,0,0
85,"No, el coronavirus no se mata’ inhalando alcohol’ Las imágenes fueron capturadas en el distrito de La Molina, en Perú. Algunas son de una campaña de donación.",1,0,0
86,"OEA no sancionó a México ni exoneró a Ecuador por asalto a la embajada en Quito En su pronunciamiento, el organismo repudió las acciones del país suramericano días después del ingreso de la fuerza pública a la sede diplomática.",0,0,0
87,"En Tumaco no ha colapsado el sistema hospitalario para atención de COVID-19, ni explotó una crisis de la magnitud de la de Guayaquil Al momento de esta publicación, aunque la situación es delicada en el municipio costero Nariñense, médicos y autoridades de salud han desmentido los audios que llaman al pánico.",0,0,0
88,Este video de un ataque sicarial ocurrió en Ecuador y no en Córdoba Al verificar la imagen compartida en redes encontramos que no se trata de la movilización de los indígenas de Colombia sino de una protesta contra el presidente Lenín Moreno en 2019.,0,0,0
89,"Esta imagen no muestra ‘víctimas del COVID-19’, muestra víctimas de estampida humana en La Meca en 2015 El video publicado en redes sociales es de un atentado sicarial en la provincia de Esmeraldas, Ecuador, y no tiene relación con los recientes ataques atribuidos al paro armado.",0,0,0
90,"Guillermo Lasso apoya a Daniel Noboa en la consulta popular Tras declaraciones de Noboa, Lasso ratificó su apoyo a la consulta Incluso CREO, que hará campaña por el Sí, emitió un comunicado, luego de que el Presidente acusara a Lasso de controlar la AME. Empezó la cuenta regresiva para que los ecuatorianos vayan a las urnas....",0,0,0
91,"“El desempleo en Quito pasa del 7,8% al 8,3%”. Wilson Merino, concejal de Quito Quito es la ciudad con más desempleo en el país. Según las cifras del INEC, pasó de 7,8% a 8,3% entre el segundo y el tercer trimestre de 2023, última cifra disponible.  El aumento del desempleo es una realidad en varias ciudades del país. Una de estas: Quito. Y la...",0,0,0
92,"Gustavo Jalkh será candidato presidencial del correísmo Aunque Jalkh ha sonado como uno de los posibles precandidatos, el correísmo no ha tomado una decisión  Gustavo Jalkh es uno de los nombres que suenan en Revolución Ciudadana. Paola Pabón dijo que espera que hasta el 5 de agosto definan un nombre. Se conoce al 2024...",0,0,0
93,"Noboa habría dicho: “Las horas de Jorge Glas están contadas” En su discurso, el Presidente dijo que “el tiempo de los Glas y los Muentes se terminó” En Durán, se refirió a que las mafias tienen las horas contadas y por ello dijo esa frase.  Además, señaló que estarán en Guayas el tiempo que sea necesario para combatir al crimen...",0,0,0
94,"Seis consecuencias de la invasión a la Embajada de México Aún no se conocen las consecuencias tras lo ocurrido en la Embajada; esta publicación intenta pasar por realidad algo que no se ha dado Por ahora, la sede diplomática de México en el país permanecerá cerrada indefinidamente y sus servicios consulares suspendidos. El...",0,0,0
95,"Diana Salazar será binomio de Noboa en el 2025 En entrevistas, Salazar se ha desmarcado de la posibilidad de ser candidata La Fiscal aseguró que debe terminar su trabajo, que empezó en abril del 2019. Además, el presidente, Daniel Noboa, aún no ha oficializado su posible candidatura, aunque sí la ha sugerido...",0,0,0
96,"Ayuda internacional para Ecuador sería con desembolso, armas, efectivos y fuerzas especiales El Gobierno indicará el tipo de cooperación internacional, en caso de que se acepte Varios países han enviado mensajes de apoyo a Ecuador tras la ola de violencia. El Jefe del Comando Conjunto de las FF.AA. dijo que la decisión de aceptar o no el apoyo, le corresponde...",0,0,0
97,"Paola Cabezas pagó en 15 años menos de $6.500 en impuestos Sólo entre 2021 y 2022, Cabezas pagó alrededor de $8.000 por Impuesto a la Renta Si bien los datos que presenta la tabla coincide con sus registros la Renta de 2005 a 2020; la cifra presentada sin ese contexto da una información manipulada.  Las nuevas autoridades...",0,0,0
98,"Arauz propone repatriar a los corruptos Las declaraciones de Arauz no estuvieron enfocadas en la repatriación de prófugos  El candidato habló de repatriar los fondos provenientes de delitos de corrupción, pero no habló específicamente de traer a los corruptos. Ecuador se acerca cada vez más a las urnas para...",0,0,0
99,"Topic estuvo ayudando en el incendio de Quito Jan Topic estuvo apoyando en combate del incendio de Quito Las fotos son reales. El precandidato estuvo en el cerro Auqui. Además, su equipo de comunicación confirmó el hecho.  POR: Redacción Ecuador Chequea Ecuador está cada vez más cerca de la época electoral, por...",0,0,0
100,"Teleamazonas habría publicado que Correa dijo: ‘Mi retorno a Ecuador es cuestión de tiempo’ Dicha publicación sí es de autoría de Teleamazonas El 26 de junio, el expresidente Rafael Correa tuvo una entrevista con EFE, allí dijo la frase. Actualmente, está prófugo de la justicia, ya que tiene una sentencia a 8 años de cárcel por cohecho. En el 2022, Bélgica...",0,0,0
101,"Mayra Salazar y Dalo Bucarán chatearon sobre procesos judiciales Expediente del caso ‘Purga’ contiene chats de Mayra Salazar y Bucaram En la transcripción de las charlas de la exrelacionista pública de la Corte de Guayas, consta cómo acordó una reunión de la Presidenta de la entidad con el político. Cada nueva revelación que la...",0,0,0
102,"Granja llamaba infeliz a Correa y ahora le ofrece el indulto La publicación y la declaración de Granja son reales  En 2018, Granja publicó que patrocinaría denuncias contra Rafael Correa. Aunque, en una entrevista reciente dijo que, si gana las elecciones, daría un indulto al expresidente prófugo. Pedro Granja es un abogado...",0,0,0
103,"“Solo el año pasado, 321 femicidios se registraron en Ecuador”, Gissela Garzón Según la investigación de Fundación Aldea, en el 2023  se produjeron 321 femicidios en Ecuador. Y ocurrió uno cada 27 horas.  “Solo el año pasado, 321 femicidios se registraron en Ecuador”, declaró la asambleísta de la Revolución Ciudadana, Gissela Garzón, al...",0,0,0
104,"Presos tenían calabozos de tortura En un video, el Ejército asegura que halló calabozos de castigo en la cárcel de Ambato El 2 de febrero, el Ejército publicó un video en el que presentan testimonios, aparentemente de reos, que aseguran que en el sitio se cobraban extorsiones. La institución señaló que...",0,0,0
105,"Torres dijo que el aumento del IVA sólo representa $3 al mes para los más pobres Esteban Torres sí dijo esta afirmación   El viceministro de Gobierno, en una entrevista en Teleamazonas, se refirió al aumento del IVA. Este tema es debatido en la Asamblea. La Asamblea Nacional analiza la propuesta del Gobierno de Daniel Noboa,  de subir el...",0,0,0
106,"Gobierno destinará $ 2,5 millones para pautajes El proceso se encuentra abierto en el portal de compras públicas Se propone un presupuesto referencial de $2,5 millones para la contratación de difusión de campañas y mensajes.  El manejo económico del Gobierno es uno de los temas que cobra fuerza en redes sociales,...",0,0,0
107,"Sonnenholzner dijo que, si Noboa prioriza la reelección, no le irá bien El exvicepresidente lo dijo en una entrevista, a manera de recomendación Sonnenholzner sugirió al presidente electo, Daniel Noboa, que se enfoque en los intereses del país, antes que en su reelección.  El exvicepresidente y excandidato presidencial Otto Sonnenholzner...",0,0,0
108,"FBI entrenará a policía de Ecuador El FBI capacitará a la Policía  Alrededor de 1.700 policías ecuatorianos serán instruidos por esta entidad para enfrentar a las organizaciones criminales consideradas como terroristas.  La agencia federal de investigación e inteligencia (FBI, por sus siglas en inglés)...",0,0,0
109,"Ordónez, subsecretaria de Transporte; Del Pozo, gerente de la EEQ Excandidatos a prefecturas de Azuay y Pichincha ocupan cargos públicos Dora Ordónez es la nueva subsecretaria de la Zonal 6 del Ministerio de Transporte, mientras que Eduardo del Pozo es el nuevo gerente de la Empresa Eléctrica de Quito. En una publicación de Twitter...",0,0,0
110,"Le llegó la hora a Diana Salazar se reactiva su juicio político La Fiscal pidió a la Asamblea reactivar su juicio político  El Legislativo informó que una vez concluya la vacancia legislativa, se convocará a sesión del CAL para conocer y resolver sobre el pedido de reactivación del proceso en contra de Salazar.  En julio se...",0,0,0
111,"Cerca de 500.000 ecuatorianos abandonaron el país en busca de trabajo y seguridad De 2017 a 2023, 409.400 ecuatorianos salieron y no regresaron, según el INEC   No existen datos de lo que va el 2024 ni se especifican las razones de las salidas. Según las cifras oficiales en estos años, 9’036.143 ecuatorianos salieron y 8’626.233 ingresaron. Las...",0,0,0
